pitcher_id,pitch_type_name,pitches_thrown,pitcher_break_z,pitcher_break_x,spin_rate,active_spin,diff_clock_label,release_speed,movement_inches
453286,FF,2085,14.802925659472422,10.633956834532373,2473.0,0.9046175966570538,-0H 15M,94.7,18.6
518516,FC,1250,29.069919999999996,3.0314400000000004,2513.0,0.4231486579637777,+1H 00M,83.6,7.8
622694,FF,896,15.531808035714286,6.220982142857143,2260.0,0.9456618359704122, 0H 00M,91.3,18.9
543606,FF,1346,15.588707280832097,10.940416047548291,2259.0,0.9766134320034418,+0H 15M,92.9,19.0
592332,FF,2288,14.109527972027971,10.508566433566434,2342.0,0.9734584971736944, 0H 00M,94.9,18.8
661269,FF,1067,16.809278350515463,10.661480787253984,2167.0,0.9169391453659116,-0H 15M,93.2,17.8
668881,FF,202,11.6,10.300000000000002,2370.0,0.9774459821897123,-0H 15M,98.3,19.6
543037,FF,2232,10.997849462365592,11.813485663082435,2505.0,0.9806392746870414, 0H 00M,96.7,21.6
601713,FF,1764,10.897222222222222,5.233106575963718,2335.0,0.985378924103672, 0H 00M,92.9,20.7
605200,SI,1992,22.62565261044177,14.669829317269077,2054.0,0.981635470840696,+0H 15M,88.5,19.3
666120,FF,1492,13.189678284182305,5.376340482573727,2041.0,0.9961558440525184, 0H 00M,94.1,18.6
571927,SI,1865,18.35876675603217,15.034584450402145,2234.0,0.9941454390302136, 0H 00M,94.4,19.6
622663,FF,189,12.3,7.3,2272.0,0.9094943465839076,-0H 15M,95.3,18.8
656302,FF,2091,11.093400286944046,4.246341463414635,2513.0,0.8281642856933297, 0H 00M,97.5,16.1
668678,FF,1752,13.89269406392694,3.621461187214612,2372.0,0.856520868445905,-0H 15M,93.2,17.6
605538,SL,1279,42.315871774824075,9.808131352619233,2562.0,0.32144998446483,+1H 00M,81.3,12.4
672282,FF,358,14.120949720670392,7.647765363128492,2086.0,0.97811773456656,+0H 15M,92.9,18.1
666201,FF,853,14.89847596717468,5.087221570926142,2349.0,0.779373781724789,-0H 15M,93.7,16.0
502043,SI,1570,23.353821656050954,14.618471337579617,2124.0,0.8660030651037317,+0H 45M,92.1,18.8
